Codage,_id,actionType,creationDate,date,game_id,group_id,grpus_id,help,id,isWon,item_id,item_size,level_id,logType,message,mode_of_use,reason,resourceType,resourceTypeMoU,resource_id,resource_size,resource_title,rightsAgreements,user_id
,6267a0cf98c0f1a79ae3d8b8,showItemCUPBOARD,2013,31/03/2015 09:16:52,63,8,8,,3082,true,458,3 min,2,showItemCUPBOARD,,,,sound,sound,337,/,"People, he","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8b9,showItemCUPBOARD,2007,31/03/2015 09:16:58,63,8,8,,3083,true,405,2 min,2,showItemCUPBOARD,,,,sound,sound,310,3 min/,"Life's Thi",Creative Commons,26
,6267a0cf98c0f1a79ae3d8ba,showItemCUPBOARD,2013,31/03/2015 09:17:10,63,8,8,,3084,true,353,2,2,showItemCUPBOARD,,,,book,book,46,/1 vol. (64 p.),Silas Core,"Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8bb,showItemCUPBOARD,2013,31/03/2015 09:17:14,63,8,8,,3085,true,313,9,2,showItemCUPBOARD,,,,book,book,35,"/1 vol., (367 p.)","L'instrume","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8bd,showItemCUPBOARD,2013,31/03/2015 09:17:22,63,8,8,,3087,true,455,25 s,2,showItemCUPBOARD,,,,sound,sound,337,/,"People, he","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8be,helpLink,,31/03/2015 09:17:28,63,8,8,Accès aide en ligne,3088,true,,,2,helpLink,,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8bf,showItemCUPBOARD,1944,31/03/2015 09:17:31,63,8,8,,3089,true,564,3 articles,2,showItemCUPBOARD,,,,journal,journal,121,/,Le Monde,"Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d8c0,HelpLink,,31/03/2015 09:17:34,63,8,8,Synthèse exception pédagogique - Enregistrements a,3090,true,,,2,HelpLink,,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8c2,addToFridge,1944,31/03/2015 09:18:05,63,8,8,,3092,true,564,3 articles,2,addToFridge,,printedCopies,,journal,journalprintedCopies,121,/,Le Monde,"Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d8c3,feedTamagoGood,1944,31/03/2015 09:18:07,63,8,8,,3093,true,564,3 articles,2,feedTamago,,printedCopies,,journal,journalprintedCopies,121,/,Le Monde,"Droits d'auteur CFC",27
,6267a0cf98c0f1a79ae3d8c4,addToFridge,2013,31/03/2015 09:18:08,63,8,8,,3094,true,455,25 s,2,addToFridge,,projection,,sound,soundprojection,337,/,"People, he","Droits d'auteur",26
,6267a0cf98c0f1a79ae3d8c5,feedTamagoGood,2013,31/03/2015 09:18:13,63,8,8,,3095,true,455,25 s,2,feedTamago,,projection,,sound,soundprojection,337,/,"People, he","Droits d'auteur",26
H,6267a0cf98c0f1a79ae3d8c6,chat,,31/03/2015 09:18:25,63,8,8,,3096,true,,,2,chat,ok pou les musiques je pense qu on peut les faire écouter en classe,,,,,,/,,,26
H,6267a0cf98c0f1a79ae3d8c7,chat,,31/03/2015 09:18:34,63,8,8,,3097,true,,,2,chat,mais pour les mettre sur l itnranet,,,,,,/,,,26
O,6267a0cf98c0f1a79ae3d8c8,chat,,31/03/2015 09:18:35,63,8,8,,3098,true,,,2,chat,Entendu.,,,,,,/,,,27
H,6267a0cf98c0f1a79ae3d8c9,chat,,31/03/2015 09:18:46,63,8,8,,3099,true,,,2,chat,elles doivent être de petites tailles,,,,,,/,,,26
,6267a0cf98c0f1a79ae3d8ca,showItemCUPBOARD,2013,31/03/2015 09:18:48,63,8,8,,3100,true,383,15 s,2,showItemCUPBOARD,,,,sound,sound,303,120 m/,"Chefs d'oe","Droits d'auteur",27
