id;date;actiontype;groupid;user_id;resourcetypemou;help;resource_id
243;2000-01-01 00:25:39;HelpLink;20;56;;Synthèse exception pédagogique - Enregistrements v;
244;2000-01-01 00:25:41;addToFridge;20;55;journalphotocopy;;117
245;2000-01-01 00:25:51;feedTamagoBad;20;55;journalphotocopy;;117
246;2000-01-01 00:25:59;showItemCUPBOARD;20;57;sound;;333
247;2000-01-01 00:26:07;showItemCUPBOARD;20;56;video;;231
248;2000-01-01 00:26:07;showItemCUPBOARD;20;57;printedmusic;;531
249;2000-01-01 00:26:13;showItemCUPBOARD;20;55;printedmusic;;529
250;2000-01-01 00:26:14;showItemCUPBOARD;20;56;video;;221
251;2000-01-01 00:26:24;addToFridge;20;57;printedmusicprintedCopies;;531
252;2000-01-01 00:26:27;feedTamagoGood;20;57;printedmusicprintedCopies;;531
253;2000-01-01 00:26:27;fillCupboard;20;;;;
254;2000-01-01 00:26:43;showItemCUPBOARD;20;56;book;;9
255;2000-01-01 00:26:52;showItemCUPBOARD;20;56;image;;401
256;2000-01-01 00:27:03;chat;20;57;;;
257;2000-01-01 00:27:04;showItemCUPBOARD;20;56;video;;231
258;2000-01-01 00:27:08;showItemCUPBOARD;20;57;video;;211
259;2000-01-01 00:27:13;showItemCUPBOARD;20;57;journal;;124
260;2000-01-01 00:27:17;addToFridge;20;56;videoassessments;;231
261;2000-01-01 00:27:19;feedTamagoBad;20;56;videoassessments;;231
262;2000-01-01 00:27:23;showItemCUPBOARD;20;55;image;;403
263;2000-01-01 00:27:25;addToFridge;20;57;journalassessments;;124
264;2000-01-01 00:27:27;feedTamagoGood;20;57;journalassessments;;124
265;2000-01-01 00:27:28;showItemCUPBOARD;20;56;printedmusic;;529
266;2000-01-01 00:27:31;showItemCUPBOARD;20;57;journal;;124
267;2000-01-01 00:27:39;addToFridge;20;56;printedmusicintranet;;529
268;2000-01-01 00:27:41;feedTamagoBad;20;56;printedmusicintranet;;529
269;2000-01-01 00:27:46;addToFridge;20;57;journalphotocopy;;124
270;2000-01-01 00:27:46;showItemCUPBOARD;20;56;image;;406
271;2000-01-01 00:27:48;feedTamagoGood;20;57;journalphotocopy;;124
272;2000-01-01 00:27:54;showItemCUPBOARD;20;56;video;;220
273;2000-01-01 00:27:55;showItemCUPBOARD;20;57;book;;43
274;2000-01-01 00:28:10;addToFridge;20;55;imageassessments;;403
275;2000-01-01 00:28:15;showItemCUPBOARD;20;56;sound;;338
276;2000-01-01 00:28:17;showItemCUPBOARD;20;55;image;;406
277;2000-01-01 00:28:25;showItemCUPBOARD;20;57;image;;412
278;2000-01-01 00:28:27;showItemCUPBOARD;20;56;image;;406
279;2000-01-01 00:28:36;addToFridge;20;56;imageintranet;;406
280;2000-01-01 00:28:38;feedTamagoBad;20;56;imageintranet;;406
